0F0F 0C12 8226 27B1 34A9 000A 27B1 33F4 0004 B237 01FF FFC0 FFFF 001A 0754 8A37 0A81 0031 110F 27B1 34A7 000D 4B81 01FF FFC7 FFFF 001B 0756 7F5A 0A81 0031 8B5A
0F0F 0C13 8227 27B1 34A9 001C 27B0 9D40 000F 2BB0 0000 002E 0002 0021 0000 0342 0B7C 0015 1038 27B0 9D40 000C 7171 0000 002E 0003 0021 0000 0355 0B7C 0015 D7AD
0F0F 0C14 8228 27B1 34A9 0064 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 76F7
0F0F 0C11 8229 27B1 3611 0441 043D 0443 03AD 045B 0079 0319 0319 0000 0001 0000 0000 015D 0010 1F00 0000 0000 0587 03AF 10BA 0879 100A 088E 0F24 08F9 7910 D51C
0F0F 0C12 822A 27B1 3611 000A 27B1 355C 0000 260E 01FF FFCB FFFF 001A 0751 CCCB 0A81 0031 110F 27B1 360F 000A C8F8 01FF FFCC FFFF 001B 0759 B3C7 0A80 0031 A4E3
0F0F 0C13 822B 27B1 3611 001C 27B0 9D40 000A 9FD7 0000 002E 0003 0021 0000 0360 0B7C 0015 1036 27B0 9D40 000E 430B 0000 002E 0003 0022 0000 0332 0B7C 0015 A1A6
0F0F 0C14 822C 27B1 3611 0064 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 7BD1
0F0F 0C11 822D 27B1 3779 0440 043D 0443 03AD 045A 0077 0319 031D 0000 0001 0000 0000 015F 0010 1F00 0000 0000 0588 03B0 10BC 0877 1009 088F 0F26 08FB 7710 4B9A
0F0F 0C12 822E 27B1 3779 000A 27B1 36C3 000C 3960 01FF FFD4 FFFF 001B 074D 9E6F 0A80 0031 1110 27B1 3777 0007 A69E 01FF FFFA FFFF 001A 0753 2A78 0A81 0031 B72B
0F0F 0C13 822F 27B1 3779 001C 27B0 9D40 0002 702D 0000 002F 0003 0022 0000 03AA 0B7B 0016 1034 27B0 9D40 0004 4217 0000 002F 0003 001F 0000 0396 0B7B 0015 6730
0F0F 0C14 8230 27B1 3779 0064 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 4140
